drift_target,drift_z,mlp_excess_harm,mlp_pred_std,mlp_test_r2,ridge_pred_std,ridge_test_r2,seed,trial,weighted_drift_score,y_test_std
noise,15.0,0.021103667649892355,9.276999380902792,0.9680595927318263,9.978562819575272,0.9891632603817186,0,2,0.2074698649048324,10.048292495002038
noise,20.0,0.016379372119556646,9.005678019051537,0.9723563497000326,9.665432152792112,0.9887357218195892,0,0,0.20688921021276163,9.848015463590245
noise,20.0,-0.0025660042272247496,9.7727587997671,0.9863356425115127,9.984122451359537,0.983769638284288,0,1,0.21790778347156214,10.031423187838076
noise,20.0,0.03811343472060302,9.328191544512421,0.9508661016386698,9.978562819575272,0.9889795363592728,0,2,0.25608184842894294,10.048292495002038
none,0.0,0.0008874427516200045,9.985970440615036,0.9891913112334256,10.038282973962128,0.9900787539850456,1,0,0.038189436586756435,10.087443393542605
none,0.0,0.001990481241815889,9.659355551929012,0.988268130720661,9.67058522442278,0.9902586119624769,1,1,0.0025685826998590945,9.73241440894585
none,0.0,0.0025647035928189066,10.226368774915843,0.9878011309371058,10.336623745539763,0.9903658345299247,1,2,0.006286101596964122,10.238425021964717
dominant,0.0,0.0008874427516200045,9.985970440615036,0.9891913112334256,10.038282973962128,0.9900787539850456,1,0,0.038189436586756435,10.087443393542605
dominant,0.0,0.001990481241815889,9.659355551929012,0.988268130720661,9.67058522442278,0.9902586119624769,1,1,0.0025685826998590945,9.73241440894585
dominant,0.0,0.0025647035928189066,10.226368774915843,0.9878011309371058,10.336623745539763,0.9903658345299247,1,2,0.006286101596964122,10.238425021964717
dominant,1.0,0.0017886772877484525,9.936833331209865,0.9882720549847767,10.03828297396213,0.9900607322725251,1,0,0.998711131411505,10.087443393542605
dominant,1.0,0.003013928870511995,9.497007813220678,0.9872354074492901,9.67058522442278,0.990249336319802,1,1,0.9813008837284517,9.73241440894585
dominant,1.0,0.002626050215437492,10.085373624430938,0.9876582580263595,10.336623745539763,0.990284308241797,1,2,0.9842740221372756,10.238425021964717
dominant,2.0,0.006486931232385862,9.574047230827517,0.9835479863574649,10.03828297396213,0.9900349175898507,1,0,1.9592328262362533,10.087443393542605
dominant,2.0,0.01339267355252416,8.972170350006142,0.9768437951715685,9.67058522442278,0.9902364687240927,1,1,1.9600331847570471,9.73241440894585
dominant,2.0,0.00701806620911094,9.598469983319625,0.9831619243787598,10.336623745539764,0.9901799905878708,1,2,1.9729697923406337,10.238425021964717
dominant,3.0,0.02609522723335933,9.138153887914745,0.9639060827036631,10.038282973962128,0.9900013099370224,1,0,2.919754521061004,10.087443393542603
dominant,3.0,0.047967259477947666,8.469802778849118,0.9422527496974011,9.67058522442278,0.9902200091753488,1,1,2.938765485785644,9.73241440894585
dominant,3.0,0.02534400236753709,9.234928678394496,0.9647088792006089,10.336623745539764,0.990052881568146,1,2,2.961665562543999,10.238425021964717
dominant,5.0,0.16341185351417808,8.654755547745527,0.8264988622067261,10.038282973962128,0.9899107157209042,1,0,4.840797910710504,10.087443393542603
dominant,5.0,0.27479294309203095,8.02846896522939,0.7153833711267265,9.67058522442278,0.9901763142187574,1,1,4.896230087842835,9.73241440894585
dominant,5.0,0.1440971585693257,8.958293238047714,0.8456331308619751,10.336623745539763,0.9897302894313008,1,2,4.939057102950718,10.238425021964717
dominant,7.0,0.47842775621591915,8.580677758965034,0.5113611934082514,10.038282973962124,0.9897889496241705,1,0,6.76184130036,10.087443393542603
dominant,7.0,0.7804456400181459,7.983189051296952,0.20967261143188198,9.67058522442278,0.9901182514500279,1,1,6.853694689900017,9.73241440894585
dominant,7.0,0.39856185420861534,8.894095045513344,0.5907546776226462,10.336623745539763,0.9893165318312616,1,2,6.916448643357435,10.238425021964717
dominant,10.0,1.3017666203835396,8.57938989254935,-0.3122187671806238,10.038282973962128,0.9895478532029158,1,0,9.643406384834254,10.087443393542603
