activation,alpha,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
identity,0.0001,dominant,10.0,"(8,)",0.004561075859382813,0.9858910028001985,1,0.9904520786595813,11
identity,0.0001,dominant,10.0,"(8,)",0.0017153529278444157,0.9878951275972019,1,0.9896104805250463,12
identity,0.0001,dominant,10.0,"(8,)",0.004357304659541428,0.9855062908718075,1,0.989863595531349,13
identity,0.0001,dominant,10.0,"(8,)",0.005308218512380725,0.9853442508763852,1,0.9906524693887659,14
identity,0.0001,dominant,10.0,"(8,)",0.0052018786398605465,0.9838667538031192,1,0.9890686324429797,15
identity,0.0001,dominant,10.0,"(8,)",0.0030451673896901843,0.9872054103510035,1,0.9902505777406937,16
identity,0.0001,dominant,10.0,"(8,)",0.007994357344065173,0.9799548551482808,1,0.987949212492346,17
identity,0.0001,dominant,10.0,"(8,)",0.0018656637075232796,0.9891312898344795,1,0.9909969535420028,18
identity,0.0001,dominant,10.0,"(8,)",0.004437931745621904,0.9837807971561686,1,0.9882187289017905,19
relu,0.1,dominant,10.0,"(100,)",6.54031625866675,-5.550293922344387,1,0.9900223363223633,0
relu,0.1,dominant,10.0,"(100,)",5.877756107648841,-4.888037958582038,1,0.9897181490668019,1
relu,0.1,dominant,10.0,"(100,)",5.479574375317071,-4.49226235924379,1,0.9873120160732818,2
relu,0.1,dominant,10.0,"(100,)",3.4688729397144122,-2.4787631058237163,1,0.9901098338906957,3
relu,0.1,dominant,10.0,"(100,)",6.610391459859321,-5.621615086723035,1,0.988776373136286,4
relu,0.1,dominant,10.0,"(100,)",3.282013121473619,-2.295097059242016,1,0.9869160622316027,5
relu,0.1,dominant,10.0,"(100,)",4.710900790898066,-3.7183052774219973,1,0.9925955134760687,6
relu,0.1,dominant,10.0,"(100,)",6.862431087200053,-5.874578367760148,1,0.9878527194399048,7
relu,0.1,dominant,10.0,"(100,)",6.037409697671956,-5.047166048799121,1,0.9902436488728354,8
relu,0.1,dominant,10.0,"(100,)",5.546558074698128,-4.557293492479433,1,0.9892645822186951,9
relu,0.1,dominant,10.0,"(100,)",3.923850764727051,-2.9332838728163817,1,0.9905668919106692,10
relu,0.1,dominant,10.0,"(100,)",5.966306539060561,-4.976253062814927,1,0.990053476245634,11
relu,0.1,dominant,10.0,"(100,)",7.240450732607908,-6.2516243442566735,1,0.9888263883512342,12
relu,0.1,dominant,10.0,"(100,)",7.376934630988657,-6.388758324888222,1,0.9881763061004347,13
relu,0.1,dominant,10.0,"(100,)",4.881025820493953,-3.890648153730355,1,0.9903776667635977,14
relu,0.1,dominant,10.0,"(100,)",6.26230670674059,-5.273110728264613,1,0.9891959784759768,15
relu,0.1,dominant,10.0,"(100,)",8.036540418201852,-7.046899736977489,1,0.9896406812243642,16
relu,0.1,dominant,10.0,"(100,)",4.831510223663476,-3.8415403062603897,1,0.9899699174030864,17
relu,0.1,dominant,10.0,"(100,)",6.611401828146192,-5.620783676901477,1,0.9906181512447151,18
relu,0.1,dominant,10.0,"(100,)",5.571615905247462,-4.582207647060046,1,0.9894082581874166,19
tanh,0.1,dominant,10.0,"(100,)",47.05299933250892,-46.06373424947614,1,0.9892650830327747,0
tanh,0.1,dominant,10.0,"(100,)",54.15440043848228,-53.16618336570227,1,0.9882170727800095,1
tanh,0.1,dominant,10.0,"(100,)",46.61289838476471,-45.62219464597542,1,0.9907037387892955,2
