dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
sinusoidal_binary,1.0,0.3641405310627997,0.08250375975136504,0.44664429081416473,394,987,0,2,0.7890896583205997
sinusoidal_binary,2.0,0.21650015724069782,-0.02066910553194587,0.19583105170875195,468,978,0,0,1.5490430176404457
sinusoidal_binary,2.0,0.23925298940174114,0.21847949638749228,0.4577324857892334,467,1054,0,1,1.383928782748624
sinusoidal_binary,2.0,0.2959938558455898,0.016671455643709532,0.3126653114892993,467,987,0,2,1.5220790099312516
sinusoidal_binary,3.0,0.2229349048489185,-0.06019185047373127,0.16274305437518724,483,978,0,0,2.2832373626790665
sinusoidal_binary,3.0,0.279139005950678,0.10309320213570822,0.3822322080863862,480,1054,0,1,2.088814777061158
sinusoidal_binary,3.0,0.3021635902666707,-0.07895918908069138,0.22320440118597934,477,987,0,2,2.255068361541902
sinusoidal_binary,5.0,0.20126950217984135,-0.0740493420357696,0.12722016014407175,490,978,0,0,3.7516260527563015
sinusoidal_binary,5.0,0.2715666332433468,-0.01839318243845023,0.25317345080489656,487,1054,0,1,3.498586765686221
sinusoidal_binary,5.0,0.34011423455588635,-0.18450836337662269,0.15560587117926367,482,987,0,2,3.721047064763201
sinusoidal_binary,7.0,0.018197474056758686,-0.0066606737731718015,0.011536800283586885,499,978,0,0,5.220014742833539
sinusoidal_binary,7.0,0.04323877284800073,0.09111936406227708,0.13435813691027781,498,1054,0,1,4.908358754311287
sinusoidal_binary,7.0,0.01858313596863558,-0.005337251308847948,0.01324588465978763,499,987,0,2,5.187025767984505
sinusoidal_binary,10.0,1.4111311086733684e-09,2.9681313735547767e-06,2.96954250466345e-06,500,978,0,0,7.422597777949388
sinusoidal_binary,10.0,2.784338026707032e-09,0.05597672637746811,0.055976729161806134,500,1054,0,1,7.023016737248887
sinusoidal_binary,10.0,5.165156639002805e-09,0.0005982460385042821,0.0005982512036609211,500,987,0,2,7.385993822816458
sinusoidal_binary,15.0,1.7846613076248845e-14,4.770138157676426e-09,4.770156004289503e-09,500,978,0,0,11.093569503142485
sinusoidal_binary,15.0,5.193201424449044e-14,0.012864652780197753,0.012864652780249685,500,1054,0,1,10.547446708811549
sinusoidal_binary,15.0,1.720787956572771e-13,1.3086920938781479e-05,1.3086921110860274e-05,500,987,0,2,11.050940580869716
sinusoidal_binary,20.0,9.992007221626413e-16,7.63905561042721e-12,7.640054811149372e-12,500,978,0,0,14.76454122833558
sinusoidal_binary,20.0,9.992007221626413e-16,0.002874975088301464,0.002874975088302463,500,1054,0,1,14.071876680374205
sinusoidal_binary,20.0,9.992007221626413e-16,2.860132951209118e-07,2.860132961201125e-07,500,987,0,2,14.715887338922979
linear_binary,0.0,0.6851044467160782,0.004139294107795233,0.6892437408238734,260,979,1,0,0.0696230164854667
linear_binary,0.0,0.6831876698454628,0.0031009807665741684,0.6862886506120369,272,1018,1,1,0.016869414685349596
linear_binary,0.0,0.6745966314085864,0.002579181438236766,0.6771758128468232,249,1002,1,2,0.037468638886628707
linear_binary,1.0,0.6643631641373472,0.005209330039825155,0.6695724941771724,298,979,1,0,0.7868038727848253
linear_binary,1.0,0.658207697674226,0.003315440762432398,0.6615231384366584,309,1018,1,1,0.7270041783665143
