activation,alpha,dgp,drift_target,drift_z,hidden,logreg_acc,logreg_auc,logreg_logloss,mlp_acc,mlp_auc,mlp_excess_acc,mlp_excess_auc,mlp_excess_logloss,mlp_logloss,n_classes,phase,seed
identity,0.1,interaction_binary,dominant,5.0,"(8,)",1.0,nan,3.710374764158335e-05,1.0,nan,0.0,nan,0.002222762293162253,0.002259866040803836,2,2,2
identity,0.1,interaction_binary,dominant,5.0,"(8,)",0.998,1.0,0.012612849402406997,0.998,1.0,0.0,0.0,-0.0009919594562934689,0.011620889946113528,2,2,3
identity,0.1,interaction_binary,dominant,5.0,"(8,)",0.998,0.9118236472945892,0.019963037907385,0.998,0.9098196392785571,0.0,0.002004008016032066,-0.005497246772685949,0.014465791134699051,2,2,4
identity,0.1,interaction_binary,dominant,5.0,"(8,)",1.0,nan,2.550760110313592e-05,1.0,nan,0.0,nan,0.004754686238061602,0.004780193839164738,2,2,5
identity,0.1,interaction_binary,dominant,5.0,"(8,)",1.0,nan,4.09234621590519e-05,1.0,nan,0.0,nan,0.0018279023183207395,0.0018688257804797914,2,2,6
identity,0.1,interaction_binary,dominant,5.0,"(8,)",1.0,nan,2.9794479568358494e-05,1.0,nan,0.0,nan,0.010906284897248018,0.010936079376816376,2,2,7
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,3.7013577131097355e-09,1.0,nan,0.0,nan,0.00021847665615719778,0.0002184803575149109,2,2,0
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,5.1841442191977105e-09,1.0,nan,0.0,nan,4.571576820648729e-06,4.576760964867926e-06,2,2,1
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,6.445252685898232e-09,1.0,nan,0.0,nan,2.6910758039565266e-05,2.6917203292251163e-05,2,2,2
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,2.725975088045739e-09,1.0,nan,0.0,nan,7.0049518594813155e-09,9.730926947527055e-09,2,2,3
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,9.443435033588286e-09,1.0,nan,0.0,nan,0.00018067774126621176,0.00018068718470124536,2,2,4
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,4.6189568887819e-09,1.0,nan,0.0,nan,0.00011724949666887946,0.00011725411562576824,2,2,5
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,1.2251657461729764e-08,1.0,nan,0.0,nan,2.9037082861925817e-05,2.9049334519387548e-05,2,2,6
identity,0.1,interaction_binary,dominant,8.0,"(8,)",1.0,nan,5.485177638260957e-09,1.0,nan,0.0,nan,0.0005103162515596042,0.0005103217367372425,2,2,7
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.842,0.9196067740073129,0.36350165612999047,0.834,0.9184841875681571,0.008000000000000007,0.0011225864391558593,0.006070593937329782,0.36957225006732025,2,2,0
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.822,0.9207292651276053,0.35783562006220715,0.822,0.9175090917829507,0.0,0.003220173344654631,0.04284947553792118,0.4006850956001283,2,2,1
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.84,0.9182866925870814,0.36751227979927714,0.838,0.9183346933550937,0.0020000000000000018,-4.800076801225739e-05,0.0009699795414522261,0.36848225934072937,2,2,2
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.832,0.9134138486312399,0.3720916546637369,0.824,0.9025281803542673,0.008000000000000007,0.010885668276972571,0.0836459062720179,0.4557375609357548,2,2,3
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.852,0.9237642311572273,0.3577267261598707,0.846,0.9219067749115307,0.006000000000000005,0.0018574562456965538,0.22341739229320995,0.5811441184530807,2,2,4
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.832,0.9072039072039072,0.39000405002202787,0.834,0.9075091575091575,-0.0020000000000000018,-0.00030525030525030417,-0.0037363131287396767,0.3862677368932882,2,2,5
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.816,0.9023497688751926,0.3942583128280673,0.824,0.9000064201335389,-0.008000000000000007,0.0023433487416536503,0.03533536629317824,0.4295936791212455,2,2,6
identity,0.0001,interaction_binary,dominant,0.0,"(32, 16)",0.858,0.9305339968955529,0.33947425225919614,0.86,0.9300219231569345,-0.0020000000000000018,0.0005120737386183905,0.023534999852006633,0.3630092521112028,2,2,7
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.958,0.9106029106029107,0.10889070341591935,0.96,0.909180435496225,-0.0020000000000000018,0.0014224751066856944,0.0007642888326799546,0.1096549922485993,2,2,0
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.952,0.9221787427417318,0.15140319995992305,0.946,0.9209164352436254,0.006000000000000005,0.0012623074981064075,0.008179557636791013,0.15958275759671406,2,2,1
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.954,0.9376,0.1111407178811718,0.954,0.9369263157894737,0.0,0.0006736842105262708,0.0007455041820248615,0.11188622206319666,2,2,2
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.96,0.9553676297862345,0.10322674670693491,0.958,0.9556025369978859,0.0020000000000000018,-0.00023490721165142503,0.09170725148405959,0.1949339981909945,2,2,3
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.97,0.9071874999999999,0.10284629263869859,0.96,0.8979166666666667,0.010000000000000009,0.009270833333333228,0.3200739224009678,0.4229202150396664,2,2,4
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.968,0.8983284647841611,0.1308063584609029,0.968,0.9010061668289516,0.0,-0.002677702044790564,-0.0023341328991230426,0.12847222556177987,2,2,5
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.958,0.8447916666666666,0.13414206894410025,0.962,0.8446874999999999,-0.0040000000000000036,0.00010416666666668295,0.021307664587021796,0.15544973353112204,2,2,6
identity,0.0001,interaction_binary,dominant,2.0,"(32, 16)",0.974,0.9717452198270612,0.0742492030105613,0.974,0.9732066739739375,0.0,-0.001461454146876262,0.022332585314598738,0.09658178832516004,2,2,7
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,2.654416938044199e-05,1.0,nan,0.0,nan,3.8977939381349105e-05,6.552210876179109e-05,2,2,0
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,1.5242657183009145e-05,1.0,nan,0.0,nan,0.0012586627142081115,0.0012739053713911206,2,2,1
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,5.219558609359345e-05,1.0,nan,0.0,nan,1.372415353913556e-05,6.591973963272901e-05,2,2,2
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,3.146304040299583e-05,1.0,nan,0.0,nan,0.00858120398081004,0.008612667021213036,2,2,3
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,1.582124113677625e-05,1.0,nan,0.0,nan,0.15620783952383427,0.15622366076497105,2,2,4
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",0.998,0.625250501002004,0.027630470322273577,0.998,0.6412825651302605,0.0,-0.01603206412825653,-0.0021489815560598417,0.025481488766213735,2,2,5
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",0.996,0.6144578313253012,0.051565819844131576,0.996,0.6375502008032128,0.0,-0.0230923694779116,-0.023508300890009586,0.02805751895412199,2,2,6
identity,0.0001,interaction_binary,dominant,5.0,"(32, 16)",0.998,0.5210420841683366,0.02831506824062917,0.998,0.5511022044088176,0.0,-0.030060120240480992,-0.009067760176032745,0.019247308064596427,2,2,7
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",0.998,0.8296593186372746,0.03858329927112342,0.998,0.8096192384769539,0.0,0.02004008016032066,-0.003963639796858501,0.034619659474264916,2,2,0
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,1.7228841028738815e-09,1.0,nan,0.0,nan,1.0423622123608009e-05,1.0425345007710883e-05,2,2,1
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,1.7460669833746862e-08,1.0,nan,0.0,nan,1.2077258461998331e-08,2.9537928295745193e-08,2,2,2
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,7.0487712189723285e-09,1.0,nan,0.0,nan,0.0003368302570807015,0.0003368373058519205,2,2,3
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,2.005220749187574e-09,1.0,nan,0.0,nan,0.053053613301435605,0.05305361530665635,2,2,4
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,2.3531727028073477e-09,1.0,nan,0.0,nan,5.727555975336411e-09,8.080728678143758e-09,2,2,5
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",0.998,0.3166332665330661,0.04832257200795293,0.998,0.3406813627254509,0.0,-0.024048096192384794,-0.02356026282761296,0.024762309180339972,2,2,6
identity,0.0001,interaction_binary,dominant,8.0,"(32, 16)",0.998,0.5210420841683366,0.045671423603702556,0.998,0.5511022044088176,0.0,-0.030060120240480992,-0.014958513939332473,0.030712909664370083,2,2,7
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.832,0.9078458793460964,0.39144351872866445,0.822,0.9043095272540227,0.010000000000000009,0.0035363520920737024,0.06098279081675584,0.4524263095454203,2,2,0
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.82,0.9086496098944232,0.37827522592751256,0.82,0.9066790560566493,0.0,0.001970553837773892,0.01750356979803408,0.39577879572554664,2,2,1
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.856,0.9192326784198812,0.364231061177013,0.846,0.9166706698051272,0.010000000000000009,0.0025620086147539745,0.035558783311999465,0.39978984448901245,2,2,2
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.802,0.9034284429021271,0.4062088152796109,0.804,0.904536983484352,-0.0020000000000000018,-0.0011085405822248706,-0.0019190768515189305,0.40428973842809196,2,2,3
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.844,0.9284294871794871,0.34051518609402454,0.838,0.9258653846153847,0.006000000000000005,0.002564102564102444,0.09438138533634644,0.43489657143037097,2,2,4
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.826,0.9070475336035502,0.39288762966866275,0.824,0.9057818933337605,0.0020000000000000018,0.001265640269789703,0.09521962831642311,0.48810725798508586,2,2,5
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.832,0.9206605751228176,0.35732497938936303,0.83,0.9208686050791314,0.0020000000000000018,-0.00020802995631374888,-0.00045560996066484893,0.3568693694286982,2,2,6
identity,0.1,interaction_binary,dominant,0.0,"(32, 16)",0.838,0.9278047841363046,0.35130759965243374,0.834,0.926489226869455,0.0040000000000000036,0.0013155572668496207,0.04221237129162103,0.3935199709440548,2,2,7
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.956,0.8777263157894737,0.1473055646353194,0.954,0.869221052631579,0.0020000000000000018,0.008505263157894682,0.04405836418435796,0.19136392881967737,2,2,0
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.96,0.9185239313116551,0.09804857890955972,0.958,0.9188892948483741,0.0020000000000000018,-0.00036536353671901,0.012353060548029149,0.11040163945758887,2,2,1
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.968,0.9347740975647953,0.1077469359548849,0.966,0.9334429566987706,0.0020000000000000018,0.0013311408660247048,0.016859939447386882,0.12460687540227178,2,2,2
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.964,0.9200092208390964,0.10094264263362271,0.966,0.9193176579068696,-0.0020000000000000018,0.0006915629322268302,0.0027388275161293607,0.10368147014975207,2,2,3
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.97,0.9475890985324947,0.0953654157330124,0.962,0.9505058791359037,0.008000000000000007,-0.0029167806034089416,0.05570644777302257,0.15107186350603496,2,2,4
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.964,0.8751426397869912,0.12588622358370533,0.964,0.8842715861544314,0.0,-0.009128946367440105,0.07929051114546898,0.2051767347291743,2,2,5
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.954,0.8996946206248532,0.14050005863934398,0.954,0.8995380158170856,0.0,0.00015660480776757968,-0.000449760571287372,0.1400502980680566,2,2,6
identity,0.1,interaction_binary,dominant,2.0,"(32, 16)",0.952,0.9471288515406162,0.10148403983042754,0.958,0.9397759103641457,-0.006000000000000005,0.007352941176470562,0.031590411114476066,0.1330744509449036,2,2,7
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,1.2015404216756078e-05,1.0,nan,0.0,nan,0.005817570679580166,0.005829586083796922,2,2,0
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,1.7053011678906554e-05,1.0,nan,0.0,nan,0.00025790774695712645,0.000274960758636033,2,2,1
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",0.998,0.8196392785571143,0.024507346295967937,0.998,0.8316633266533067,0.0,-0.012024048096192397,-0.00969871786336211,0.014808628432605827,2,2,2
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,1.5003059126129203e-05,1.0,nan,0.0,nan,6.743911354946909e-05,8.24421726755983e-05,2,2,3
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",0.998,0.9719438877755511,0.01843491808339864,0.998,0.9759519038076152,0.0,-0.004008016032064132,-0.006416973582256772,0.012017944501141868,2,2,4
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,2.6358589642488794e-05,1.0,nan,0.0,nan,0.01344435803824403,0.013470716627886518,2,2,5
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",1.0,nan,2.1868181629445782e-05,1.0,nan,0.0,nan,1.314537254754568e-06,2.318271888420035e-05,2,2,6
identity,0.1,interaction_binary,dominant,5.0,"(32, 16)",0.996,0.8905622489959839,0.043131128978463364,0.996,0.8333333333333334,0.0,0.05722891566265054,-0.0179508368973935,0.025180292081069863,2,2,7
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,1.428709672852497e-09,1.0,nan,0.0,nan,0.00018585224488676963,0.00018585367359644247,2,2,0
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,3.2217427386506243e-09,1.0,nan,0.0,nan,6.93758574373293e-07,6.969803171119437e-07,2,2,1
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",0.998,0.8196392785571143,0.04239196485713246,0.998,0.8316633266533067,0.0,-0.012024048096192397,-0.01807141661258173,0.02432054824455073,2,2,2
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,2.7094795458236216e-09,1.0,nan,0.0,nan,7.36622298327386e-08,7.637170937856222e-08,2,2,3
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,2.3230649245271864e-09,1.0,nan,0.0,nan,0.00012050208522171348,0.000120504408286638,2,2,4
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,7.550278540955228e-09,1.0,nan,0.0,nan,0.000859515867044338,0.0008595234173228789,2,2,5
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",1.0,nan,2.9023354496009345e-09,1.0,nan,0.0,nan,4.234613328504781e-10,3.3257967824514126e-09,2,2,6
identity,0.1,interaction_binary,dominant,8.0,"(32, 16)",0.996,0.8905622489959839,0.07948103146947853,0.996,0.8333333333333334,0.0,0.05722891566265054,-0.03643268207862156,0.04304834939085697,2,2,7
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.848,0.9140926486365311,0.3738520881232005,0.836,0.9115466525756193,0.01200000000000001,0.0025459960609117704,0.04560267312522298,0.41945476124842346,2,2,0
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.854,0.923824,0.3505616981070592,0.846,0.926048,0.008000000000000007,-0.0022240000000000038,0.08638293864647795,0.4369446367535372,2,2,1
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.828,0.9176146818349094,0.3638623248571074,0.82,0.9132466119457912,0.008000000000000007,0.004368069889118198,0.1678774911914533,0.5317398160485607,2,2,2
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.86,0.931497175141243,0.337354321584337,0.866,0.930389702105804,-0.006000000000000005,0.0011074730354390105,0.04092594656118892,0.3782802681455259,2,2,3
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.826,0.9169428832204448,0.36704187390334,0.826,0.9166866823589694,0.0,0.00025620086147537524,0.004364950855025251,0.37140682475836523,2,2,4
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.856,0.9163833472320225,0.37058491218335077,0.852,0.9139457309641413,0.0040000000000000036,0.002437616267881193,0.07861744668921528,0.44920235887256604,2,2,5
identity,0.0001,interaction_binary,dominant,0.0,"(8,)",0.816,0.913968,0.3804162239160229,0.816,0.914096,0.0,-0.000128000000000017,0.01662020522921298,0.3970364291452359,2,2,6
