activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
tanh,0.0001,linear,dominant,10.0,"(100,)",42.97006866538743,-41.98090185559347,1,0.989166809793958,10
tanh,0.0001,linear,dominant,10.0,"(100,)",45.58699605798454,-44.59728203316982,1,0.9897140248147259,11
tanh,0.0001,linear,dominant,10.0,"(100,)",46.29551158927218,-45.3053395479405,1,0.9901720413316852,12
tanh,0.0001,linear,dominant,10.0,"(100,)",45.778979741261864,-44.788734389601764,1,0.9902453516600975,13
tanh,0.0001,linear,dominant,10.0,"(100,)",42.41854257217858,-41.42774265686884,1,0.9907999153097402,14
identity,0.0001,linear,dominant,10.0,"(100,)",-0.0003432314020430649,0.9902221172143139,1,0.9898788858122708,0
identity,0.0001,linear,dominant,10.0,"(100,)",0.0003084623171660805,0.9890888196817622,1,0.9893972819989283,1
identity,0.0001,linear,dominant,10.0,"(100,)",2.8550225883661184e-05,0.991368775016749,1,0.9913973252426327,2
identity,0.0001,linear,dominant,10.0,"(100,)",-0.00020910390301098758,0.9893006463633174,1,0.9890915424603064,3
identity,0.0001,linear,dominant,10.0,"(100,)",-0.00013592498954329013,0.990460838787533,1,0.9903249137979897,4
identity,0.0001,linear,dominant,10.0,"(100,)",0.00017665152122670058,0.9861900386161154,1,0.9863666901373421,5
identity,0.0001,linear,dominant,10.0,"(100,)",-5.266137935833193e-06,0.9885798632186595,1,0.9885745970807237,6
identity,0.0001,linear,dominant,10.0,"(100,)",2.828016665068489e-05,0.9892540332539792,1,0.9892823134206299,7
identity,0.0001,linear,dominant,10.0,"(100,)",-0.00017570082763862516,0.9919380531032036,1,0.991762352275565,8
identity,0.0001,linear,dominant,10.0,"(100,)",0.00355895278861984,0.9852684936448113,1,0.9888274464334311,9
identity,0.0001,linear,dominant,10.0,"(100,)",0.0042007472568383886,0.9845626251182098,1,0.9887633723750482,10
identity,0.0001,linear,dominant,10.0,"(100,)",5.7906896706150235e-05,0.9884498157922305,1,0.9885077226889366,11
identity,0.0001,linear,dominant,10.0,"(100,)",0.013935592072868985,0.975082101677465,1,0.989017693750334,12
identity,0.0001,linear,dominant,10.0,"(100,)",0.017801762454969117,0.9724538342521774,1,0.9902555967071465,13
identity,0.0001,linear,dominant,10.0,"(100,)",0.003011045822472802,0.9865868485744418,1,0.9895978943969146,14
relu,0.0001,linear,dominant,10.0,"(32, 16)",3.5557244588003183,-2.565821948397448,1,0.9899025104028707,0
relu,0.0001,linear,dominant,10.0,"(32, 16)",1.5838097098769421,-0.5935349762191113,1,0.9902747336578307,1
relu,0.0001,linear,dominant,10.0,"(32, 16)",3.113670777572945,-2.123343204369104,1,0.990327573203841,2
relu,0.0001,linear,dominant,10.0,"(32, 16)",4.71317651661843,-3.7230449760380218,1,0.9901315405804082,3
